Kata,Bobot
takda,-2
takaran,-5
tak segan,-1
tak bernyawa,-5
taji,-4
tajam,-2
tajak,-3
tais,-3
taik,-5
tai,-5
tahu,-4
tahi angin,-4
tahi,-5
tagut,-4
tagar,-3
tae,-4
taburan,-3
tabungan,-3
tabrak,-3
taat,-1
ta,-3
syur,-3
syedih,-5
syedi,-4
syak,-3
syair,-3
syahwat,-2
suudzon,-4
sutradara,-3
susut,-2
susur tangan,-3
susup,-2
susuk,-4
susuh,-4
susu,-4
suspend,-3
susila,-2
susahnya,-3
susah hati,-5
susah,-3
surut,-4
surup,-5
surih,-3
suri,-1
suratan takdir,-3
surat takdir,-3
suram,-5
surah,-4
suplai,-3
super,-2
supaya,-3
sunyi,-3
sunu,-2
suntuk,-4
suni,-4
sungkawa,-3
sungkap,-3
sungkan,-4
sungguhpun,-3
sungguh,-1
sundut,-3
sunduk,-3
sundal bolong,-5
sunam,-3
sun,-3
sumpit,-3
sumpek,-4
sumpal,-3
sumpah serapah,-5
sumpah,-3
sumbing,-4
sumbat,-3
sumbang,-4
sumarah,-4
sulfur,-3
sulalah,-3
sukatan,-5
sukaria,-3
sukarela,-2
sukar,-4
suka mengganggu,-4
sugesti,-3
sudu,-3
sudi,-3
sudahlah,-3
subversif,-4
subang,-1
suari,-3
suap,-3
suak,-2
stress,-5
stres,-4
stori,-5
stop,-3
statis,-3
standar,-2
stalking,-4
stalk,-4
stagnasi,-5
stagnan,-3
sput,-2
spion,-3
spektakel,-3
spam,-3
sotoy,-4
sotau,-4
sosi,-5
sorry,-4
sorangan,-3
sorak,-3
sontak,-4
songsong,-2
soms,-4
somplak,-4
someng,-4
sombong,-3
solokan,-4
solek,-4
sohor,-1
sogokan,-4
sogok,-4
soe,-5
sobek,-3
soalnya,-1
soak,-5
slip,-5
slebor,-5
skors,-3
sivilisasi,-3
sitoplasma,-5
sisih,-2
sisa,-4
sir-siran,-2
sirna,-5
sirkuler,-3
sirik,-5
siratan,-3
sirap hati,-2
sipongang,-3
sinting,-5
singkir,-5
singkil,-4
singkat akal,-3
singkat,-3
singkap,-3
singgung,-5
singgah,-2
sindiran,-3
sindir,-3
sin,-1
simpuh,-3
simpatik,-4
simpang-siur,-4
simpang,-4
simpanan,-3
simbah,-3
simak,-5
siluman,-5
silu,-5
silap mata,-5
silap,-4
silang sengketa,-4
selisih,-1
silang selisih,-4
silang,-4
silam,-4
sila,-4
siksaan,-5
siksa,-5
siklon,-4
sihh,-2
signifikansi,-4
sifer,-3
sidik midik,-3
sidang,-3
sibuk,-3
sia-sia,-4
siaran,-3
siapanya,-2
sian,-3
sialan,-5
sial,-5
sia,-5
si polan,-3
si fulan,-3
si dia,-3
shy,-3
shabu-shabu,-3
sewot,-5
sewenang-wenang,-5
sewal,-5
setuju,-3
setip,-3
setimpal,-5
setimbang,-3
setia,-4
seteru,-4
setengah,-3
setek,-4
setan,-4
se-sat pusat,-4
sesat pusat,-4
sesat akal,-2
sesat,-4
sesambat,-3
sesalan,-5
sesal,-4
sesak,-3
serutu,-3
serupa,-3
seruh,-2
serpihan,-4
serong,-4
serobot,-3
seringing,-4
seringai,-4
serindai,-5
serik,-3
serengit,-4
serenging,-5
serem,-5
serawak,-3
serapah,-4
serangan,-3
serang,-4
seranah,-3
serampu,-3
serampangan,-5
seram,-4
serakan,-3
serak,-4
serah,-3
seraga,-3
serabutan,-5
sepuh,-3
sepit,-3
sepihak,-3
sepi,-3
sepenuhnya,-3
sepele,-4
separuh,-3
sepak,-3
senyur,-4
senyum,-1
senyap,-4
senyampang,-4
sentuk,-4
sentuh asa,-1
sentong,-3
sentimen,-3
sentilan,-5
senteng,-5
sentakan,-5
sensi,-4
sensasi,-5
senonoh,-5
senjang,-4
senior,-3
seni,-4
sengsara,-5
senging,-5
sengal,-4
senewen,-4
sendu,-2
sendirian,-3
sendiri,-3
senat,-3
semrawut,-5
sempurna,-3
sempuras,-3
semprotan,-5
semprot,-5
sempit,-4
sempelah,-4
semok,-4
semi,-2
sementung,-5
sementara,-4
semenggah,-5
semena-mena,-5
semena,-3
semburan,-4
sembur,-3
sembunyi-sembunyi,-4
sembul,-3
sembrono,-5
sember,-4
sembarangan,-4
sembarang,-4
sembam,-4
sembah,-2
semayam,-3
semau,-3
semata-mata,-2
semaput,-4
seman,-5
semak hati,-5
selusur,-3
selulur,-2
seluk-beluk,-4
seluk beluk,-4
selubung,-5
selokan,-4
selit-belit,-3
selir,-4
selingkuhan,-5
selingkuh,-5
selidik,-3
selia,-4
seleweng,-5
selesma,-3
selerang,-5
selempang,-5
selektif,-3
selekeh,-5
seleder,-5
selebaran,-3
selap,-3
selagi,-2
seladang,-3
sekutu,-3
sekurang-kurangnya,-3
seksualitas,-5
seksologis,-2
seksi,-3
sekop,-3
sekongkolan,-4
sekongkol,-4
seko,-3
sekedup,-3
sekam,-3
sekadar,-3
segitunya,-3
segitu,-3
segi,-4
seenaknya,-4
seenak,-4
sedu,-5
sedikit-dikitnya,-3
sedikit,-4
sedihnya,-5
sedihhh,-5
sedih,-5
sedi,-2
sedeng,-2
sedat,-4
sebit,-4
sebenernya,-1
sebel,-5
sebat,-3
sebarang,-2
sebaran,-3
sebagai,-3
sebab,-2
seandainya,-1
sayup,-3
sayu rayu,-3
sayu rawan,-3
sayu,-3
sayid,-1
sayat,-4
sayangnya,-3
sawat,-5
saum,-2
satria,-1
satire,-3
satir,-2
satelit,-3
sasana,-3
sarit,-4
sarau,-5
sarangan,-3
sarak,-3
sara bara,-5
sara,-3
sapit,-3
sapi jantan,-3
santunan,-2
santet,-5
sano,-4
sangsi,-5
sangkut-paut,-4
sangkut,-4
sangit,-5
sanggit,-3
sanggama,-2
sange,-5
sandung,-5
sampur,-3
sampul,-3
sampuk,-3
sampai rasa,-2
sampai hati,-2
sampah,-4
sambungan jiwa,-3
sambit,-5
sambel,-2
sambat,-3
sambaran,-3
sambar,-3
samar,-5
sama sekali,-3
salahku,-4
salah urat,-3
salah tingkah,-4
salah langkah,-3
salah benang,-1
salah,-5
sakit-sakitan,-4
sakitnya,-4
sakit jiwa,-4
sakit ingatan,-4
sakit ingat,-4
sakit hati,-3
sakit,-5
sajen,-4
saja,-3
sahara,-2
safih,-4
safa,-4
sadur,-3
sadis,-5
sad,-4
sabit,-3
sabil,-4
sabak,-3
ruyup,-5
ruwet,-4
rute,-4
rusuk,-4
rusuh,-4
rusak binasa,-4
rusak,-4
rurut,-5
runyam,-5
runtun,-5
runtuh,-5
rundung,-4
runcing,-4
rumor,-5
rumit,-5
rumbing,-4
rugi,-5
rudin,-5
rudapaksa,-4
rucah,-5
rubuh,-5
ruat,-4
ruak,-4
ruai,-4
rua,-4
rosak,-3
rontok,-3
rongsokan,-3
rongsok,-3
rongseng,-4
rongkol,-5
ronggang,-3
rongga,-3
rompyok,-5
rompong,-3
rompok,-2
rompoh,-4
rompes,-4
rompeng,-4
rompak,-5
romong,-4
rombongan,-4
rombengan,-4
rombeng,-3
rombak,-2
rokok,-3
roh jahat,-4
rogok,-3
rogoh,-3
roda,-5
roboh,-5
robek,-3
riuk,-3
risiko,-3
risi,-3
risa,-4
rip,-5
rintisan,-2
rintis,-2
rintik,-3
ringkus,-5
ringkik,-3
ringkih,-4
ringkas,-2
ringan tangan,-1
ringan mulut,-4
ringan lidah,-4
rinding,-3
ricuh,-4
ribut,-4
ribet,-4
riba,-3
reyot,-3
rewel,-4
revolusioner,-1
retek,-3
retas,-3
retak,-4
resurjensi,-5
resultan,-3
restoran,-4
restan,-3
resonansi,-3
resistan,-2
residivis,-5
resesi,-5
resek,-4
resap,-3
resan,-5
resah,-5
reput,-3
represi,-4
repot,-5
renyem,-3
renyang,-5
renti,-3
rentan,-4
renjana,-2
rengsa,-5
renggang,-3
rengeh,-3
rendah,-5
rencana,-4
remuk redam,-5
remuk,-4
rempak,-4
remeh,-5
rembas,-5
rem,-5
relai,-5
rela,-3
rel (kereta api),-4
rekan,-2
rekam,-3
reka,-2
reguk,-3
regenerasi,-2
redup,-3
redik,-5
redang,-4
recok,-3
recehan,-4
receh,-4
reca,-3
rebut,-3
rebet,-5
rebeh,-5
rebak,-3
rebah,-3
reba,-5
realitas,-3
realisasi,-3
reaksi,-5
rayuan,-3
rayu,-4
rayah,-5
rawat,-3
rawan,-5
rawak,-5
ratapan,-3
ratap,-3
rasuk,-3
rasisme,-5
rasionalitas,-4
rasio,-4
rasialisme,-5
rasa malu,-4
rasa hati,-2
rapun,-5
rapet,-2
rapat,-3
rantus,-3
rantas,-3
rantaian,-3
rantai,-3
rangkul,-3
rang,-3
random,-4
randek,-3
rancau,-3
rancap,-4
rancak,-4
ranap,-5
ranai,-4
rampok,-5
rampas,-4
rampang,-2
rampak,-5
rame,-2
rambang,-5
ramal,-2
rajaman,-4
rajam,-5
raiso,-3
raib,-3
rahasia,-2
ragu-ragu,-3
raguk,-3
ragu,-3
ragam,-4
radius,-4
radikal,-4
radang,-4
rad,-3
rabies,-4
rabak,-3
raba,-3
qada,-2
puyeng,-4
puyan,-4
putus usia,-3
putus tali gantung,-2
putus nyawa,-5
putus napas,-4
putus jiwa,-5
putus akal,-5
putus,-5
putih tulang,-2
putau,-3
pusung,-3
pusu,-4
puspamala,-3
pusink,-3
pusing keling,-5
pusing,-4
pusang,-5
purwa,-2
purnama,-3
purbasangka,-3
purba,-3
puputan,-3
pupus,-5
puntung,-3
puntianak,-5
pundung,-4
puncak,-3
punah,-4
pun,-3
pumpun,-3
pulsa,-3
pulas,-1
pulak,-2
pukulan,-3
pukul,-4
pukau,-1
pukang,-3
puisi,-3
pudar,-3
pucat,-4
pub,-4
puatang,-5
puasa,-2
puaka,-4
protes,-3
prosedur,-4
prosais,-3
prosa,-4
profit,-1
problem,-4
prinsipil,-4
primitif,-4
primer,-4
prihatin,-3
pretel,-4
presentasi,-3
preseden,-2
prediksi,-1
prasangka,-3
prapendapat,-3
pranatal,-3
prajurit,-5
prahara,-3
praduga,-3
potongan,-2
potol,-4
potel,-5
porno,-5
porak-poranda,-5
popokan,-4
poor,-4
pongsu,-4
pongah,-5
polusi,-4
politik,-1
pojok,-3
plonga-plongo,-3
plongah-plongoh,-3
piye,-3
pitnah,-3
pita,-4
pisah,-3
pipitan,-3
pipis,-2
pinter,-1
pingsan,-3
pinggul,-3
pincang,-4
pinak,-3
pilu,-5
pilon,-3
pilak,-5
pikun,-4
pikulan,-2
pikul,-2
pikiran tumpul,-3
pikir,-2
pikat,-4
pijat-pijat,-5
pihak,-3
pica,-4
pialang,-3
php,-4
pgen,-1
petus,-3
petung,-3
petugas,-3
petir,-3
petanda,-3
petaka,-4
pesona,-1
peserta,-3
pesawat,-3
pesat,-2
perwujudan,-3
perusuhan,-4
perus,-5
peruntungan,-3
perundungan,-4
pertunjukan perasaan,-3
pertunjukan,-3
